source,target,Value
K00906,K02182,0.5916621895165912
K00992,K02182,0.5128710845225207
K01295,K02182,0.7664160973373838
K01473,K02182,0.8000565937828467
K01474,K02182,0.8059758306444769
K01512,K02182,0.6153179428266947
K01662,K02182,-0.4663779616957565
K01808,K02182,-0.2931425585761599
K01918,K02182,-0.4675175866894278
K01975,K02182,0.5239506218782657
K02016,K02182,0.0688953700255635
K02017,K02182,0.741147211063999
K02020,K02182,0.7367150826660881
K02037,K02182,-0.2163369886774868
K02039,K02182,-0.0260067881554671
K02068,K02182,0.5776459825747997
K00066,K02304,0.6981112328440039
K00132,K02304,0.5507265596108618
K00170,K02304,0.795794348933728
K00246,K02304,0.5957807549275028
K00313,K02304,0.6839628931332917
K00368,K02304,0.8680517438763193
K00381,K02304,0.8325030274353465
K00416,K02304,-0.111052776558366
K00452,K02304,0.5905381237091756
K00455,K02304,0.6491616893431413
K00528,K02304,0.7779015607592381
K00674,K02304,-0.4897290885835016
K00889,K02304,0.6954069193856763
K00906,K02304,0.678689655720129
K00992,K02304,0.6127291405179923
K01295,K02304,0.6724217732337244
K01473,K02304,0.6851489493033185
K01474,K02304,0.7020659693068421
K01512,K02304,0.8076855987340245
K01662,K02304,-0.6498401045133888
K01808,K02304,-0.2631883743415204
K01918,K02304,-0.4657552300431787
K01975,K02304,0.7705292699525661
K02016,K02304,0.0191657525169404
K02017,K02304,0.7291242694597823
K02020,K02304,0.7058103441155025
K02037,K02304,-0.2183917848033063
K02039,K02304,0.0660523559561783
K02068,K02304,0.6076617564395187
K02182,K02304,0.629591957779346
K00066,K02380,0.6233429493428697
K00132,K02380,0.7047692228705618
K00170,K02380,0.5969415808627428
K00246,K02380,0.5824554485699042
K00313,K02380,0.5849440354893856
K00368,K02380,0.6128882539093041
K00381,K02380,0.5978137449439483
K00416,K02380,-0.3353894012617263
K00452,K02380,0.571620721159883
K00455,K02380,0.6394169751131343
K00528,K02380,0.5307160923666572
K00674,K02380,-0.5959820694870177
K00889,K02380,0.605918602972513
K00906,K02380,0.4387223053802447
K00992,K02380,0.5806783402596268
K01295,K02380,0.6015296280354848
K01473,K02380,0.5645990972648394
K01474,K02380,0.578703777408353
K01512,K02380,0.6138295258750006
K01662,K02380,-0.5688643561802936
K01808,K02380,-0.2522988533394426
K01918,K02380,-0.5366867417545612
K01975,K02380,0.6350249749935573
K02016,K02380,0.2400329443921662
K02017,K02380,0.5341153950691231
K02020,K02380,0.5557136616137042
K02037,K02380,-0.4238321964245357
K02039,K02380,-0.2669090576867297
K02068,K02380,0.6361438105579581
K02182,K02380,0.5558360152938085
K02304,K02380,0.5587646804742997
K00066,K02472,0.7015696131223912
K00132,K02472,0.5755032207086573
K00170,K02472,0.5099378036400712
K00246,K02472,0.4119981518090367
K00313,K02472,0.4998313795662957
K00368,K02472,0.5081662952021202
K00381,K02472,0.6347962467554084
K00416,K02472,-0.4576292527767411
K00452,K02472,0.6168054679242069
K00455,K02472,0.4774085080553862
K00528,K02472,0.629511386785174
K00674,K02472,-0.3324784788091944
K00889,K02472,0.6964782169895595
K00906,K02472,0.4647356755390583
K00992,K02472,0.4054361022730082
K01295,K02472,0.5701041670143732
K01473,K02472,0.5424677394440065
K01474,K02472,0.556873243142787
K01512,K02472,0.6341671602816075
K01662,K02472,-0.2597915478382658
K01808,K02472,-0.0583570046492638
K01918,K02472,-0.2312882979387674
K01975,K02472,0.6027260048228968
K02016,K02472,0.3849279938149241
K02017,K02472,0.6138769453578525
